feature,importance,std
alert_minutes_lag_1,0.00835705500480725,0.00030429256886245476
alert_minutes_roll_std_3,0.005497915756522154,6.824396288365462e-05
alerts_started_roll_mean_168,0.003006220544953875,0.0001354641451870717
alert_minutes_roll_min_3,0.0024654569771207615,0.00012625072363739022
alert_minutes_roll_std_6,0.002337137505992115,6.154943764687146e-05
alert_minutes_roll_sum_24,0.0021623435863935394,3.960666070867724e-05
alert_minutes_roll_mean_24,0.0020400481382866487,4.7435078713235686e-05
alert_minutes_roll_mean_6,0.0016607472055254258,6.374480920613052e-05
alert_minutes_roll_std_24,0.0015720765312381701,4.975261867703671e-05
hour,0.001497155937707989,0.0002665524965410764
region_cat,0.0014528690209793971,0.00014327406447355978
alert_minutes_roll_mean_168,0.0014246010646865926,7.861471410911657e-05
alert_minutes_lag_168,0.001280273435132473,4.72034794463021e-05
alert_minutes_roll_std_168,0.0011543974121249634,8.461632090510557e-05
alert_minutes_lag_24,0.0011425723575224423,4.461252332618926e-05
alerts_started_roll_mean_24,0.001141848982572541,7.056103942112502e-05
alert_minutes_lag_48,0.000962709539651635,5.0636551719242606e-05
alert_minutes_roll_mean_3,0.0009413991161337565,6.225711821543127e-05
time_since_last_alert,0.0009093234026093799,3.544294046071406e-05
alert_minutes_roll_std_12,0.0008113837394514046,2.5705950699536553e-05
hour_cos,0.0007718186720149456,2.6567662816030768e-05
alerts_started_lag_1,0.0006984493715626982,6.602803401628416e-05
alert_minutes_roll_max_72,0.0006468977949799281,5.078889573324826e-05
hour_sin,0.0006329515808553455,3.662913998864569e-05
alert_minutes_roll_mean_72,0.0006229499532196759,3.465603608202707e-05
alert_minutes_roll_sum_72,0.0006137479583381289,2.980802351536851e-05
alerts_started_roll_std_168,0.0005998311512091459,2.814056544409485e-05
alert_minutes_roll_std_72,0.0005679843904833282,3.796708523174989e-05
alert_minutes_roll_sum_6,0.0005578175756390635,4.458761474398032e-05
alert_minutes_roll_max_12,0.0005512099944636028,3.103815766821607e-05
week_of_year,0.0004986019238189976,0.00010253265810428533
alert_minutes_lag_3,0.0004882503832636997,5.2874680652983156e-05
day_of_month,0.000459427566674514,4.0595385719184816e-05
alert_minutes_lag_6,0.0004523722463676938,6.245007426265555e-05
alert_minutes_roll_sum_168,0.000444195042775658,5.9832725620374204e-05
alert_minutes_roll_sum_12,0.000352281453720743,1.8619679381323492e-05
alerts_started_lag_168,0.00035045312994498313,2.8526767996459164e-05
alert_minutes_roll_max_3,0.00034475541266492104,2.2716977246320362e-05
alerts_started_roll_mean_6,0.0003416168711210421,4.1504366575932675e-05
alerts_started_roll_mean_72,0.00033562801327996494,2.7129277370658035e-05
alerts_started_roll_mean_3,0.0003319713833926763,3.088455846308904e-05
alert_minutes_roll_max_24,0.0003240103963497554,1.2766410477444088e-05
alert_minutes_roll_mean_12,0.0003081043350062707,2.334552959742854e-05
alerts_started_roll_sum_24,0.0002991809955821545,4.5749855474233334e-05
is_night,0.0002971768751560133,6.698761647059891e-05
month_cos,0.0002630855334603222,8.237387078474487e-05
alert_minutes_lag_2,0.00024076724051177444,5.0350744759791216e-05
alerts_started_roll_std_24,0.0002324623036507989,3.457637173270202e-05
day_of_week,0.00021238438152598738,3.16373313109896e-05
alert_minutes_roll_max_6,0.00021076278697063078,1.8204544639718966e-05
alerts_started_roll_std_72,0.00020821156530561601,3.095325109921718e-05
alerts_started_lag_48,0.00018904018503813625,6.038798234487062e-06
month_sin,0.0001879786559244867,3.5056096954498145e-05
dow_sin,0.00018584884603878304,3.5270865742906366e-05
alerts_started_lag_2,0.0001824664096862605,3.206711675368452e-05
month,0.0001707714574328445,3.645962941855882e-05
alerts_started_lag_24,0.00016439934006216573,2.3414173796918775e-05
alert_minutes_roll_sum_3,0.00015072761228019927,1.9928635893855024e-05
alerts_started_roll_std_6,0.00014595834817799914,3.760890406092202e-06
alert_minutes_lag_12,0.00014234981117585143,2.8804096120877534e-05
any_alert_lag_1,0.00011427935484558116,1.700838263364116e-05
alerts_started_roll_std_3,0.00011196424423332574,5.000308533788204e-06
dow_cos,0.00010492222922411364,2.257770944473262e-05
is_weekend,9.97270242772852e-05,2.0180955105843064e-05
alert_minutes_roll_max_168,9.611016434816211e-05,1.9292354231220516e-05
alert_minutes_roll_min_24,8.434963554719843e-05,1.8652886786108175e-05
any_alert_lag_3,5.870134621761003e-05,8.078767927255374e-06
any_alert_lag_6,5.570660664868665e-05,6.386806590718977e-06
any_alert_lag_168,5.191117773954979e-05,4.35146883760209e-06
alerts_started_roll_std_12,4.651586179568734e-05,1.2386840239281e-05
any_alert_lag_2,4.081947608217673e-05,1.5277457925044983e-05
alerts_started_lag_12,3.736663016764008e-05,6.8121298376218764e-06
alerts_started_roll_max_3,3.6490282949147576e-05,7.4338328857623835e-06
alerts_started_lag_3,3.564301665150427e-05,5.990666036617717e-06
alert_minutes_roll_min_12,3.112826653773326e-05,2.165288456434261e-06
any_alert_lag_24,3.0650832876466524e-05,3.682745555828226e-06
alerts_started_roll_sum_168,2.9507498908609708e-05,2.4771831299707457e-05
alerts_started_roll_sum_3,2.79682214638588e-05,5.157403522087968e-06
alert_minutes_roll_min_6,2.6363231858783642e-05,1.357202465539206e-05
alerts_started_lag_6,2.4320694509982755e-05,8.246036520542928e-06
alerts_started_roll_mean_12,2.4189865726031988e-05,5.979910485401415e-06
alerts_started_roll_max_72,2.268809564721641e-05,6.964057984636994e-06
any_alert_lag_48,1.6682557345093495e-05,6.920856837894758e-06
alerts_started_roll_sum_6,1.6035934436564592e-05,6.340404253311356e-06
alert_minutes_roll_min_168,8.301213704658972e-06,1.941268598566445e-06
alerts_started_roll_sum_12,6.5198240101482785e-06,5.041662587321447e-06
alert_minutes_roll_min_72,4.386722098725926e-06,4.2494739964940335e-06
alerts_started_roll_min_3,3.7468424886388795e-06,3.1554124158577595e-06
alerts_started_roll_max_12,0.0,0.0
alerts_started_roll_min_168,0.0,0.0
alerts_started_roll_min_72,0.0,0.0
alerts_started_roll_min_24,0.0,0.0
alerts_started_roll_min_12,0.0,0.0
alerts_started_roll_min_6,0.0,0.0
alerts_started_roll_max_6,0.0,0.0
is_holiday,0.0,0.0
alerts_started_roll_max_24,-4.4192572939971697e-07,0.0
alerts_started_roll_max_168,-8.610533178354806e-07,1.5966769027577976e-06
any_alert_lag_12,-9.730393081149314e-05,3.5556336575212326e-06
alerts_started_roll_sum_72,-0.00014796277675763192,8.36871069594459e-06
